ticket_id,jira_status,jira_id,reason,total_attachments,successful_attachments,failed_attachments,attachment_type,created_at,updated_at
205,success,FTJM-47703,,1,1,0,attachment,2025-08-25T23:18:14.483543,2025-08-25T23:18:14.483543
215,success,FTJM-47706,,0,0,0,none,2025-08-25T23:18:14.799039,2025-08-25T23:18:14.799039
216,success,FTJM-47707,,1,1,0,attachment,2025-08-25T23:18:15.919731,2025-08-25T23:18:15.919731
221,success,FTJM-47711,,0,0,0,none,2025-08-25T23:18:17.300462,2025-08-25T23:18:17.300462
217,success,FTJM-47708,,1,1,0,attachment,2025-08-25T23:18:18.352649,2025-08-25T23:18:18.352649
218,success,FTJM-47709,,2,2,0,attachment,2025-08-25T23:18:18.422143,2025-08-25T23:18:18.422143
219,success,FTJM-47710,,2,2,0,attachment,2025-08-25T23:18:18.957246,2025-08-25T23:18:18.957246
201,success,FTJM-47700,,2,2,0,mixed,2025-08-25T23:18:19.248678,2025-08-25T23:18:19.248678
223,success,FTJM-47713,,1,1,0,conversation,2025-08-25T23:18:19.522551,2025-08-25T23:18:19.522551
222,success,FTJM-47712,,2,2,0,conversation,2025-08-25T23:18:20.156985,2025-08-25T23:18:20.156985
230,success,FTJM-47718,,0,0,0,none,2025-08-25T23:18:20.956281,2025-08-25T23:18:20.956281
224,success,FTJM-47714,,3,3,0,mixed,2025-08-25T23:18:21.359786,2025-08-25T23:18:21.359786
226,success,FTJM-47716,,2,2,0,conversation,2025-08-25T23:18:22.104046,2025-08-25T23:18:22.104046
228,success,FTJM-47717,,2,2,0,attachment,2025-08-25T23:18:22.266869,2025-08-25T23:18:22.266869
233,success,FTJM-47721,,0,0,0,none,2025-08-25T23:18:22.561896,2025-08-25T23:18:22.561896
231,success,FTJM-47719,,1,1,0,attachment,2025-08-25T23:18:22.666271,2025-08-25T23:18:22.666271
225,success,FTJM-47715,,4,4,0,mixed,2025-08-25T23:18:22.668047,2025-08-25T23:18:22.668047
232,success,FTJM-47720,,1,1,0,attachment,2025-08-25T23:18:22.774554,2025-08-25T23:18:22.774554
235,success,FTJM-47722,,0,0,0,none,2025-08-25T23:18:22.966915,2025-08-25T23:18:22.966915
238,success,FTJM-47724,,0,0,0,none,2025-08-25T23:18:23.897713,2025-08-25T23:18:23.897713
237,success,FTJM-47723,,1,1,0,attachment,2025-08-25T23:18:24.530279,2025-08-25T23:18:24.530279
239,success,FTJM-47725,,0,0,0,none,2025-08-25T23:18:24.534242,2025-08-25T23:18:24.534242
242,success,FTJM-47726,,0,0,0,none,2025-08-25T23:18:24.943249,2025-08-25T23:18:24.943249
244,success,FTJM-47728,,0,0,0,none,2025-08-25T23:18:25.914372,2025-08-25T23:18:25.914372
243,success,FTJM-47727,,2,2,0,attachment,2025-08-25T23:18:26.830756,2025-08-25T23:18:26.830756
246,success,FTJM-47730,,0,0,0,attachment,2025-08-25T23:18:27.091112,2025-08-25T23:18:27.091112
245,success,FTJM-47729,,2,2,0,attachment,2025-08-25T23:18:28.237567,2025-08-25T23:18:28.237567
247,success,FTJM-47731,,1,1,0,attachment,2025-08-25T23:18:28.618609,2025-08-25T23:18:28.618609
248,success,FTJM-47732,,1,1,0,attachment,2025-08-25T23:18:29.623616,2025-08-25T23:18:29.623616
249,success,FTJM-47733,,1,1,0,attachment,2025-08-25T23:18:30.044198,2025-08-25T23:18:30.044198
250,success,FTJM-47734,,1,1,0,attachment,2025-08-25T23:18:30.983239,2025-08-25T23:18:30.983239
251,success,FTJM-47735,,1,1,0,attachment,2025-08-25T23:18:31.243994,2025-08-25T23:18:31.243994
252,success,FTJM-47736,,1,1,0,attachment,2025-08-25T23:18:31.384695,2025-08-25T23:18:31.384695
253,success,FTJM-47737,,1,1,0,attachment,2025-08-25T23:18:32.263054,2025-08-25T23:18:32.263054
254,success,FTJM-47738,,1,1,0,attachment,2025-08-25T23:18:32.714752,2025-08-25T23:18:32.714752
255,success,FTJM-47739,,1,1,0,attachment,2025-08-25T23:18:33.310406,2025-08-25T23:18:33.310406
256,success,FTJM-47740,,1,1,0,attachment,2025-08-25T23:18:33.549621,2025-08-25T23:18:33.549621
257,success,FTJM-47741,,1,1,0,attachment,2025-08-25T23:18:34.267309,2025-08-25T23:18:34.267309
258,success,FTJM-47742,,1,1,0,attachment,2025-08-25T23:18:34.629979,2025-08-25T23:18:34.629979
